TIMING n=7 ms=9 branch=B3-adjacentMacro fpLen=24 value=(some (9586962, 33554430)) elapsedMs=320
n=7 sb=0 c=2 branch=B2-localTwoSpan fpLen=12 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=0 c=9 branch=B2-localTwoSpan fpLen=12 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=0 c=10 branch=B3-adjacentMacro fpLen=24 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=1 c=10 branch=B3-adjacentMacro fpLen=24 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=0 c=18 branch=B4-leftMiddleMacro fpLen=23 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=0 c=20 branch=B5-crossMacro fpLen=35 value=(some (9586962, 33554430)) DIFFERING=[]
n=7 sb=9 c=12 branch=B3-adjacentMacro fpLen=24 value=(some (9586962, 33554484)) DIFFERING=[]
n=12 sb=0 c=2 branch=B2-localTwoSpan fpLen=12 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=0 c=16 branch=B2-localTwoSpan fpLen=12 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=0 c=17 branch=B3-adjacentMacro fpLen=24 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=1 c=17 branch=B3-adjacentMacro fpLen=24 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=0 c=32 branch=B4-leftMiddleMacro fpLen=23 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=0 c=34 branch=B5-crossMacro fpLen=35 value=(some (19173928, 86282820)) DIFFERING=[]
n=12 sb=16 c=19 branch=B3-adjacentMacro fpLen=24 value=(some (19173928, 86282948)) DIFFERING=[]
